,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp
ALNY201701,11,New York,ALNY,Allentown,201701,21069.88,211.3636363636364,2265.0,238.3636363636364,22.54545454545455,260.90909090909093,85.45454545454545,99.96818181818182,130209.11818181818
ALNY201702,11,New York,ALNY,Allentown,201702,40164.07,196.8,2222.1,238.1,23.6,261.7,88.9,99.956,212385.736
ALNY201703,11,New York,ALNY,Allentown,201703,52875.9675,292.375,3427.375,361.375,21.875,383.25,131.625,99.93125,257548.05125
ALNY201704,11,New York,ALNY,Allentown,201704,46699.34285714286,292.0,3244.4285714285716,286.2857142857143,29.285714285714285,315.57142857142856,122.28571428571428,99.94714285714285,306279.00428571424
ALNY201705,11,New York,ALNY,Allentown,201705,55202.50714285714,358.71428571428567,4398.857142857143,408.57142857142856,22.57142857142857,431.1428571428572,136.28571428571428,99.90714285714287,303575.98714285716
ALNY201706,11,New York,ALNY,Allentown,201706,70933.75857142858,335.14285714285717,4033.857142857143,438.28571428571433,35.42857142857143,473.71428571428567,158.0,99.92428571428572,367348.7285714285
ALNY201707,11,New York,ALNY,Allentown,201707,56235.32714285714,298.2857142857143,3492.285714285714,414.57142857142856,31.285714285714285,445.8571428571428,152.14285714285714,99.92428571428572,308239.2228571429
ALNY201708,11,New York,ALNY,Allentown,201708,83900.73714285715,347.42857142857144,4179.142857142857,443.8571428571428,29.42857142857143,473.28571428571433,158.85714285714286,99.93142857142857,448202.1185714286
ALNY201709,11,New York,ALNY,Allentown,201709,70255.00714285714,327.42857142857144,4114.571428571428,432.8571428571428,23.714285714285715,456.57142857142856,150.0,99.90714285714287,317067.09142857144
ALNY201710,11,New York,ALNY,Allentown,201710,56848.328571428574,368.1428571428572,4313.428571428572,498.71428571428567,34.57142857142857,533.2857142857143,171.0,99.91142857142857,293461.45
ALNY201711,11,New York,ALNY,Allentown,201711,61126.6,344.0,3578.142857142857,356.0,24.42857142857143,380.4285714285714,130.0,99.93285714285715,338219.4514285714
ALNY201712,11,New York,ALNY,Allentown,201712,48219.42125,262.625,2857.625,261.625,20.125,281.75,110.125,99.93875,291710.21875
ALNY201801,11,New York,ALNY,Allentown,201801,77007.27,321.7142857142857,3335.857142857143,328.14285714285717,14.714285714285715,342.85714285714283,109.57142857142857,99.94571428571429,339708.9914285714
ALNY201802,11,New York,ALNY,Allentown,201802,33876.41888888889,217.55555555555557,2451.333333333333,232.55555555555557,11.222222222222221,243.77777777777774,79.1111111111111,99.95777777777779,187590.67
ALNY201803,11,New York,ALNY,Allentown,201803,87482.15444444443,266.44444444444446,3113.222222222222,260.0,18.555555555555557,278.5555555555556,95.44444444444444,99.94888888888887,467791.7466666666
ALNY201804,11,New York,ALNY,Allentown,201804,99847.095,379.66666666666674,4633.666666666667,439.16666666666674,26.33333333333333,465.5,152.33333333333334,99.94166666666666,653545.6666666665
ALNY201805,11,New York,ALNY,Allentown,201805,72749.21666666666,418.33333333333326,4721.666666666667,446.83333333333326,23.5,470.33333333333326,183.83333333333331,99.91166666666666,442844.4
ALNY201806,11,New York,ALNY,Allentown,201806,133048.1475,571.75,6948.5,756.25,72.0,828.25,276.75,99.895,1008128.4
ALNY201807,11,New York,ALNY,Allentown,201807,84090.59199999999,453.0,5316.2,488.4,33.6,522.0,177.0,99.90799999999999,571956.7579999999
ALNY201808,11,New York,ALNY,Allentown,201808,86221.894,504.0,5867.2,531.2,34.2,565.4,195.4,99.88,551713.514
ALNY201809,11,New York,ALNY,Allentown,201809,82345.80799999999,398.0,4454.8,397.0,35.0,432.0,160.2,99.89200000000001,542647.9400000001
ALNY201810,11,New York,ALNY,Allentown,201810,73049.79,373.16666666666674,4359.333333333333,408.0,29.83333333333333,437.83333333333326,157.0,99.895,451333.27666666673
ALNY201811,11,New York,ALNY,Allentown,201811,68678.62,387.2,4238.2,429.4,14.6,444.0,153.8,99.91799999999999,413909.588
ALNY201812,11,New York,ALNY,Allentown,201812,81704.166,369.6,3986.6,443.0,34.2,477.2,152.4,99.91799999999999,545758.304
ALNY201901,11,New York,ALNY,Allentown,201901,67057.292,426.6,4660.6,433.6,27.6,461.2,172.8,99.912,385328.78799999994
ALNY201902,11,New York,ALNY,Allentown,201902,40696.5,219.375,2727.125,240.0,13.0,253.0,85.375,99.94875,238767.48
ALNY201903,11,New York,ALNY,Allentown,201903,51085.245,316.5,3576.166666666666,371.5,26.83333333333333,398.33333333333326,138.5,99.93333333333334,276551.08
ALPA201701,11,New York,ALPA,Albany,201701,69257.67714285714,380.0,3791.4285714285716,446.4285714285714,32.57142857142857,479.0,144.14285714285714,99.94142857142856,382505.60714285716
ALPA201702,11,New York,ALPA,Albany,201702,68469.01,330.0,3168.4285714285716,325.85714285714283,26.857142857142854,352.71428571428567,121.28571428571428,99.94857142857144,360737.8257142857
ALPA201703,11,New York,ALPA,Albany,201703,86140.51,380.57142857142856,3702.0,447.71428571428567,27.285714285714285,475.0,161.71428571428572,99.95714285714287,436010.72
ALPA201704,11,New York,ALPA,Albany,201704,87909.81285714285,341.57142857142856,3475.4285714285716,434.57142857142856,19.0,453.57142857142856,142.57142857142858,99.94428571428571,448282.57714285713
ALPA201705,11,New York,ALPA,Albany,201705,79071.20714285714,364.57142857142856,3626.142857142857,363.0,18.0,381.0,142.71428571428572,99.92857142857143,403354.6514285713
ALPA201706,11,New York,ALPA,Albany,201706,98200.31,416.33333333333326,4592.833333333333,546.8333333333334,31.0,577.8333333333334,176.83333333333337,99.94,528305.355
ALPA201707,11,New York,ALPA,Albany,201707,83235.935,384.0,4450.333333333333,642.5,30.33333333333333,672.8333333333334,180.66666666666663,99.925,454052.15
ALPA201708,11,New York,ALPA,Albany,201708,81759.70833333331,457.83333333333326,5030.666666666667,689.3333333333335,45.0,734.3333333333335,212.0,99.88833333333334,435229.8316666667
ALPA201709,11,New York,ALPA,Albany,201709,63963.56166666668,377.83333333333326,3756.0,558.3333333333334,36.333333333333336,594.6666666666666,170.83333333333334,99.88666666666668,353954.78
ALPA201710,11,New York,ALPA,Albany,201710,84763.19833333332,463.16666666666674,4320.666666666667,590.5,25.83333333333333,616.3333333333334,171.0,99.935,423005.37000000005
ALPA201711,11,New York,ALPA,Albany,201711,76006.33833333332,422.33333333333326,4391.666666666667,521.8333333333334,33.166666666666664,555.0,166.83333333333334,99.94,404625.0616666667
ALPA201712,11,New York,ALPA,Albany,201712,75620.83833333332,357.66666666666674,3873.5,551.5,30.5,582.0,176.5,99.92,378813.51166666666
ALPA201801,11,New York,ALPA,Albany,201801,75153.78,461.33333333333326,5314.333333333333,808.8333333333335,21.83333333333333,830.6666666666665,210.33333333333331,99.91,361703.2966666666
ALPA201802,11,New York,ALPA,Albany,201802,66813.04,428.5,4388.666666666667,567.0,21.5,588.5,174.5,99.94333333333331,328665.15833333327
ALPA201803,11,New York,ALPA,Albany,201803,69089.50666666668,402.0,4355.5,534.6666666666666,29.66666666666667,564.3333333333334,172.0,99.93166666666669,377017.83333333326
ALPA201804,11,New York,ALPA,Albany,201804,71516.31,439.16666666666674,4548.333333333333,529.5,36.5,566.0,176.0,99.94333333333331,354757.7583333333
ALPA201805,11,New York,ALPA,Albany,201805,95545.53333333333,473.5,5118.666666666667,715.0,44.66666666666666,759.6666666666665,218.16666666666663,99.90666666666668,583084.2666666667
ALPA201806,11,New York,ALPA,Albany,201806,63703.5275,332.75,3327.5,453.5,39.375,492.875,162.375,99.9325,350744.28875
ALPA201807,11,New York,ALPA,Albany,201807,54450.88,263.1111111111111,2612.0,304.8888888888889,33.77777777777778,338.6666666666667,115.44444444444444,99.94444444444444,302332.72
ALPA201808,11,New York,ALPA,Albany,201808,85833.96166666668,418.0,4253.166666666667,525.3333333333334,32.666666666666664,558.0,188.33333333333331,99.925,401518.82833333337
ALPA201809,11,New York,ALPA,Albany,201809,68067.44333333331,349.0,3492.666666666666,405.83333333333326,40.833333333333336,446.66666666666674,158.83333333333334,99.895,374712.14166666666
ALPA201810,11,New York,ALPA,Albany,201810,89783.21999999999,413.16666666666674,4359.5,486.33333333333326,48.33333333333334,534.6666666666666,191.16666666666663,99.905,471707.355
ALPA201811,11,New York,ALPA,Albany,201811,78235.72333333334,351.33333333333326,3877.333333333334,590.1666666666666,23.5,613.6666666666666,168.5,99.89333333333332,440010.45
ALPA201812,11,New York,ALPA,Albany,201812,84900.89,361.8,3684.8,491.6,34.2,525.8,184.4,99.89399999999999,503364.37
ALPA201901,11,New York,ALPA,Albany,201901,143747.918,488.4,5054.8,521.2,29.6,550.8,199.0,99.896,782214.87
ALPA201902,11,New York,ALPA,Albany,201902,104016.768,434.0,4182.2,485.8,47.0,532.8,192.6,99.904,572423.642
ALPA201903,11,New York,ALPA,Albany,201903,114039.63999999998,467.2,4967.6,622.2,76.0,698.2,239.6,99.902,561211.3539999999
HAPA201701,11,New York,HAPA,Harrisburg,201701,70313.132,679.4,6691.8,643.4,57.0,700.4,263.0,99.71799999999999,344213.638
HAPA201702,11,New York,HAPA,Harrisburg,201702,54921.31428571429,456.8571428571428,5091.571428571428,467.28571428571433,39.714285714285715,507.0,176.0,99.86571428571428,288887.2514285714
HAPA201703,11,New York,HAPA,Harrisburg,201703,70210.71142857142,493.0,5303.714285714285,503.4285714285714,41.57142857142857,545.0,200.7142857142857,99.85142857142857,333005.6085714285
HAPA201704,11,New York,HAPA,Harrisburg,201704,50372.05375,369.25,4200.125,395.625,32.625,428.25,147.125,99.9075,269144.975
HAPA201705,11,New York,HAPA,Harrisburg,201705,60395.987142857135,453.0,5299.857142857143,544.1428571428571,22.428571428571423,566.5714285714286,200.0,99.85714285714286,318619.6357142857
HAPA201706,11,New York,HAPA,Harrisburg,201706,69575.80857142857,441.1428571428572,4917.857142857143,495.4285714285714,43.714285714285715,539.1428571428571,194.28571428571428,99.90142857142857,354150.7714285715
HAPA201707,11,New York,HAPA,Harrisburg,201707,48247.48142857144,385.28571428571433,3921.571428571429,401.0,30.42857142857143,431.4285714285714,158.85714285714286,99.89428571428572,259827.3757142857
HAPA201708,11,New York,HAPA,Harrisburg,201708,67973.26285714286,487.0,5046.0,517.1428571428571,47.85714285714285,565.0,196.0,99.85285714285715,342972.61285714287
HAPA201709,11,New York,HAPA,Harrisburg,201709,69095.01857142858,442.71428571428567,4650.571428571428,494.28571428571433,38.42857142857143,532.7142857142857,187.14285714285717,99.87857142857143,331448.2942857143
HAPA201710,11,New York,HAPA,Harrisburg,201710,65910.60857142857,480.71428571428567,5020.142857142857,507.57142857142856,44.85714285714285,552.4285714285714,186.7142857142857,99.85857142857141,315169.9257142857
HAPA201711,11,New York,HAPA,Harrisburg,201711,54595.4,412.71428571428567,4275.428571428572,428.8571428571428,29.57142857142857,458.4285714285714,175.14285714285714,99.89428571428572,418938.0157142857
HAPA201712,11,New York,HAPA,Harrisburg,201712,49523.448571428584,359.71428571428567,3934.285714285714,445.71428571428567,44.42857142857143,490.1428571428572,165.85714285714286,99.87,263218.72714285715
HAPA201801,11,New York,HAPA,Harrisburg,201801,61523.27285714285,464.8571428571428,4678.285714285715,410.8571428571428,24.714285714285715,435.57142857142856,166.71428571428572,99.89142857142859,315822.6314285714
