,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
ALNY201701,11,New York,ALNY,Allentown,201701,S,S,S,S,S,S,S,Q,S,D,D,D
ALNY201702,11,New York,ALNY,Allentown,201702,R,S,S,S,R,R,R,Q,R,C,C,D
ALNY201703,11,New York,ALNY,Allentown,201703,R,R,R,R,S,R,R,Q,R,C,C,C
ALNY201704,11,New York,ALNY,Allentown,201704,R,R,R,R,R,R,R,Q,R,C,C,C
ALNY201705,11,New York,ALNY,Allentown,201705,R,R,R,R,R,R,R,Q,R,C,C,C
ALNY201706,11,New York,ALNY,Allentown,201706,Q,R,R,R,R,R,R,Q,R,C,C,C
ALNY201707,11,New York,ALNY,Allentown,201707,R,R,R,R,R,R,R,Q,R,C,C,C
ALNY201708,11,New York,ALNY,Allentown,201708,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALNY201709,11,New York,ALNY,Allentown,201709,Q,R,R,R,R,R,R,Q,R,C,C,C
ALNY201710,11,New York,ALNY,Allentown,201710,R,R,R,R,R,R,R,Q,R,C,C,C
ALNY201711,11,New York,ALNY,Allentown,201711,R,R,R,R,S,R,R,Q,R,C,C,C
ALNY201712,11,New York,ALNY,Allentown,201712,R,R,R,R,S,S,R,Q,R,C,C,C
ALNY201801,11,New York,ALNY,Allentown,201801,Q,R,R,R,S,R,R,Q,R,C,C,C
ALNY201802,11,New York,ALNY,Allentown,201802,R,S,S,R,S,S,S,Q,R,D,D,D
ALNY201803,11,New York,ALNY,Allentown,201803,Q,R,R,S,S,S,S,Q,Q,C,C,C
ALNY201804,11,New York,ALNY,Allentown,201804,P,R,R,R,R,R,R,Q,P,B,B,B
ALNY201805,11,New York,ALNY,Allentown,201805,Q,R,R,R,S,R,R,Q,Q,B,C,C
ALNY201806,11,New York,ALNY,Allentown,201806,P,Q,Q,Q,Q,Q,Q,Q,P,A,A,A
ALNY201807,11,New York,ALNY,Allentown,201807,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALNY201808,11,New York,ALNY,Allentown,201808,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALNY201809,11,New York,ALNY,Allentown,201809,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALNY201810,11,New York,ALNY,Allentown,201810,R,R,R,R,R,R,R,Q,Q,C,C,C
ALNY201811,11,New York,ALNY,Allentown,201811,Q,R,R,R,S,R,R,Q,Q,B,C,C
ALNY201812,11,New York,ALNY,Allentown,201812,Q,Q,R,Q,Q,Q,R,Q,P,B,B,B
ALNY201901,11,New York,ALNY,Allentown,201901,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALNY201902,11,New York,ALNY,Allentown,201902,R,R,R,R,S,R,S,Q,R,C,C,C
ALNY201903,11,New York,ALNY,Allentown,201903,R,R,R,R,R,R,R,Q,R,C,C,C
ALPA201701,11,New York,ALPA,Albany,201701,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALPA201702,11,New York,ALPA,Albany,201702,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALPA201703,11,New York,ALPA,Albany,201703,Q,R,R,R,R,R,R,Q,Q,B,B,C
ALPA201704,11,New York,ALPA,Albany,201704,Q,R,R,R,S,R,R,Q,Q,B,C,C
