,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
ALNY201701,11,New York,ALNY,Allentown,201701,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,11.0,11.0,11.0
ALNY201702,11,New York,ALNY,Allentown,201702,20.0,10.0,10.0,10.0,20.0,20.0,20.0,30.0,20.0,19.0,18.5,17.0
ALNY201703,11,New York,ALNY,Allentown,201703,20.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,20.0,19.5,19.5
ALNY201704,11,New York,ALNY,Allentown,201704,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
ALNY201705,11,New York,ALNY,Allentown,201705,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
ALNY201706,11,New York,ALNY,Allentown,201706,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
ALNY201707,11,New York,ALNY,Allentown,201707,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
ALNY201708,11,New York,ALNY,Allentown,201708,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALNY201709,11,New York,ALNY,Allentown,201709,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
ALNY201710,11,New York,ALNY,Allentown,201710,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
ALNY201711,11,New York,ALNY,Allentown,201711,20.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,20.0,19.5,19.5
ALNY201712,11,New York,ALNY,Allentown,201712,20.0,20.0,20.0,20.0,10.0,10.0,20.0,30.0,20.0,19.0,18.5,18.5
ALNY201801,11,New York,ALNY,Allentown,201801,30.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,22.5,22.0,21.0
ALNY201802,11,New York,ALNY,Allentown,201802,20.0,10.0,10.0,20.0,10.0,10.0,10.0,30.0,20.0,17.0,17.0,15.0
ALNY201803,11,New York,ALNY,Allentown,201803,30.0,20.0,20.0,10.0,10.0,10.0,10.0,30.0,30.0,23.0,22.0,19.5
ALNY201804,11,New York,ALNY,Allentown,201804,40.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,31.5,30.5,26.5
ALNY201805,11,New York,ALNY,Allentown,201805,30.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,30.0,25.5,24.5,22.5
ALNY201806,11,New York,ALNY,Allentown,201806,40.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0,35.5,35.0,33.0
ALNY201807,11,New York,ALNY,Allentown,201807,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALNY201808,11,New York,ALNY,Allentown,201808,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALNY201809,11,New York,ALNY,Allentown,201809,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALNY201810,11,New York,ALNY,Allentown,201810,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,23.5,23.0,22.0
ALNY201811,11,New York,ALNY,Allentown,201811,30.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,30.0,25.5,24.5,22.5
ALNY201812,11,New York,ALNY,Allentown,201812,30.0,30.0,20.0,30.0,30.0,30.0,20.0,30.0,40.0,31.5,31.5,29.0
ALNY201901,11,New York,ALNY,Allentown,201901,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALNY201902,11,New York,ALNY,Allentown,201902,20.0,20.0,20.0,20.0,10.0,20.0,10.0,30.0,20.0,19.0,19.0,18.5
ALNY201903,11,New York,ALNY,Allentown,201903,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
ALPA201701,11,New York,ALPA,Albany,201701,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALPA201702,11,New York,ALPA,Albany,201702,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALPA201703,11,New York,ALPA,Albany,201703,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALPA201704,11,New York,ALPA,Albany,201704,30.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,30.0,25.5,24.5,22.5
ALPA201705,11,New York,ALPA,Albany,201705,30.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,30.0,25.5,24.5,22.5
ALPA201706,11,New York,ALPA,Albany,201706,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALPA201707,11,New York,ALPA,Albany,201707,30.0,20.0,20.0,30.0,20.0,30.0,30.0,30.0,30.0,28.5,28.0,26.5
ALPA201708,11,New York,ALPA,Albany,201708,30.0,20.0,20.0,30.0,20.0,30.0,20.0,30.0,30.0,27.5,27.5,25.5
ALPA201709,11,New York,ALPA,Albany,201709,30.0,20.0,20.0,30.0,20.0,30.0,20.0,30.0,20.0,24.5,25.0,24.0
ALPA201710,11,New York,ALPA,Albany,201710,30.0,20.0,20.0,30.0,10.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALPA201711,11,New York,ALPA,Albany,201711,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,30.0,26.0,25.5,23.5
ALPA201712,11,New York,ALPA,Albany,201712,30.0,20.0,20.0,30.0,20.0,30.0,20.0,30.0,30.0,27.5,27.5,25.5
ALPA201801,11,New York,ALPA,Albany,201801,30.0,20.0,20.0,40.0,10.0,30.0,30.0,30.0,30.0,28.5,28.0,26.5
ALPA201802,11,New York,ALPA,Albany,201802,30.0,20.0,20.0,30.0,10.0,30.0,20.0,30.0,20.0,24.0,24.0,23.0
ALPA201803,11,New York,ALPA,Albany,201803,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
ALPA201804,11,New York,ALPA,Albany,201804,30.0,20.0,20.0,30.0,20.0,20.0,20.0,30.0,20.0,23.5,24.0,23.0
ALPA201805,11,New York,ALPA,Albany,201805,30.0,20.0,20.0,30.0,20.0,30.0,30.0,30.0,30.0,28.5,28.0,26.5
ALPA201806,11,New York,ALPA,Albany,201806,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
ALPA201807,11,New York,ALPA,Albany,201807,20.0,20.0,10.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,20.0,19.0
ALPA201808,11,New York,ALPA,Albany,201808,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
ALPA201809,11,New York,ALPA,Albany,201809,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
ALPA201810,11,New York,ALPA,Albany,201810,30.0,20.0,20.0,20.0,30.0,20.0,20.0,30.0,30.0,26.5,26.5,24.5
ALPA201811,11,New York,ALPA,Albany,201811,30.0,20.0,20.0,30.0,20.0,30.0,20.0,30.0,30.0,27.5,27.5,25.5
ALPA201812,11,New York,ALPA,Albany,201812,30.0,20.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,27.5
ALPA201901,11,New York,ALPA,Albany,201901,40.0,30.0,20.0,30.0,30.0,30.0,30.0,30.0,40.0,35.0,34.5,31.5
ALPA201902,11,New York,ALPA,Albany,201902,40.0,30.0,20.0,30.0,30.0,30.0,30.0,30.0,40.0,35.0,34.5,31.5
ALPA201903,11,New York,ALPA,Albany,201903,40.0,30.0,20.0,30.0,40.0,30.0,30.0,30.0,30.0,32.5,33.0,31.0
HAPA201701,11,New York,HAPA,Harrisburg,201701,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,30.0,29.5,29.5,29.5
HAPA201702,11,New York,HAPA,Harrisburg,201702,30.0,30.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,24.0,23.5,23.5
HAPA201703,11,New York,HAPA,Harrisburg,201703,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,23.0,23.0,22.0
HAPA201704,11,New York,HAPA,Harrisburg,201704,20.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.5,20.5,20.5
