,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),Number of Delivery Lines (SO),Sales $ per branch,GM $ per branch,RSO by plant,GMR,Sales Order - RSO
ALNY201701,11,New York,ALNY,Allentown,201701,2622,1432300.3,231768.68,35,0.16181570303378418,2290.0
ALNY201702,11,New York,ALNY,Allentown,201702,2381,2123857.36,401640.7,44,0.18910907463201768,1924.0
ALNY201703,11,New York,ALNY,Allentown,201703,2891,2060384.41,423007.74,55,0.20530525175154088,2284.0
ALNY201704,11,New York,ALNY,Allentown,201704,2004,2143953.03,326895.4,37,0.15247320973258452,2007.0
ALNY201705,11,New York,ALNY,Allentown,201705,2860,2125031.91,386417.55,65,0.18184082233381613,2446.0
ALNY201706,11,New York,ALNY,Allentown,201706,3068,2571441.1,496536.31,53,0.19309651307976683,2293.0
ALNY201707,11,New York,ALNY,Allentown,201707,2902,2157674.56,393647.29,53,0.18244052986378073,2035.0
ALNY201708,11,New York,ALNY,Allentown,201708,3107,3137414.83,587305.16,48,0.18719397715092717,2384.0
ALNY201709,11,New York,ALNY,Allentown,201709,3030,2219469.64,491785.05,65,0.22157773241719134,2227.0
ALNY201710,11,New York,ALNY,Allentown,201710,3491,2054230.15,397938.3,62,0.1937165122418245,2515.0
ALNY201711,11,New York,ALNY,Allentown,201711,2492,2367536.16,427886.2,47,0.18073058702512065,2361.0
ALNY201712,11,New York,ALNY,Allentown,201712,2093,2333681.75,385755.37,49,0.16529904731011416,2052.0
ALNY201801,11,New York,ALNY,Allentown,201801,2297,2377962.94,539050.89,38,0.2266859928439423,2214.0
ALNY201802,11,New York,ALNY,Allentown,201802,2093,1688316.03,304887.77,38,0.18058690706147001,1920.0
ALNY201803,11,New York,ALNY,Allentown,201803,2340,4210125.72,787339.39,46,0.18701089762231615,2352.0
ALNY201804,11,New York,ALNY,Allentown,201804,2635,3921274.0,599082.57,35,0.1527775335260938,2243.0
ALNY201805,11,New York,ALNY,Allentown,201805,2681,2657066.4,436495.3,53,0.16427715167374063,2457.0
ALNY201806,11,New York,ALNY,Allentown,201806,3025,4032513.6,532192.59,42,0.13197539866945518,2245.0
ALNY201807,11,New York,ALNY,Allentown,201807,2442,2859783.79,420452.96,46,0.14702263907859972,2219.0
ALNY201808,11,New York,ALNY,Allentown,201808,2656,2758567.57,431109.47,60,0.15628019218684572,2460.0
ALNY201809,11,New York,ALNY,Allentown,201809,1985,2713239.7,411729.04,54,0.15174812605019747,1936.0
