,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),Number of Delivery Lines (SO),Sales $ per branch,GM $ per branch,RSO by plant,GMR,Sales Order - RSO,Equal Weights,High Sales and GM Weight,High GMR
ALNY201701,11,New York,ALNY,Allentown,201701,Q,R,R,R,R,Q,3,3,3
ALNY201702,11,New York,ALNY,Allentown,201702,Q,Q,Q,R,Q,R,2,2,2
ALNY201703,11,New York,ALNY,Allentown,201703,Q,Q,P,R,Q,Q,2,1,2
ALNY201704,11,New York,ALNY,Allentown,201704,R,Q,Q,R,R,R,3,3,3
ALNY201705,11,New York,ALNY,Allentown,201705,Q,Q,Q,R,Q,Q,2,2,2
ALNY201706,11,New York,ALNY,Allentown,201706,P,P,P,R,Q,Q,1,1,1
ALNY201707,11,New York,ALNY,Allentown,201707,Q,Q,Q,R,Q,R,2,2,2
ALNY201708,11,New York,ALNY,Allentown,201708,P,P,P,R,Q,Q,1,1,1
ALNY201709,11,New York,ALNY,Allentown,201709,Q,Q,P,R,Q,Q,2,1,2
ALNY201710,11,New York,ALNY,Allentown,201710,P,Q,Q,R,Q,Q,2,2,2
ALNY201711,11,New York,ALNY,Allentown,201711,Q,P,P,R,Q,Q,2,1,1
ALNY201712,11,New York,ALNY,Allentown,201712,Q,Q,Q,R,R,R,3,2,3
ALNY201801,11,New York,ALNY,Allentown,201801,Q,P,P,R,Q,Q,2,1,1
ALNY201802,11,New York,ALNY,Allentown,201802,Q,Q,Q,R,Q,R,2,2,2
ALNY201803,11,New York,ALNY,Allentown,201803,Q,P,P,R,Q,Q,2,1,1
ALNY201804,11,New York,ALNY,Allentown,201804,Q,P,P,R,R,Q,2,2,2
ALNY201805,11,New York,ALNY,Allentown,201805,Q,P,P,R,R,Q,2,2,2
ALNY201806,11,New York,ALNY,Allentown,201806,Q,P,P,R,R,Q,2,2,2
ALNY201807,11,New York,ALNY,Allentown,201807,Q,P,P,R,R,Q,2,2,2
ALNY201808,11,New York,ALNY,Allentown,201808,Q,P,P,R,R,Q,2,2,2
ALNY201809,11,New York,ALNY,Allentown,201809,R,P,P,R,R,R,2,2,2
ALNY201810,11,New York,ALNY,Allentown,201810,Q,P,P,R,R,Q,2,2,2
ALNY201811,11,New York,ALNY,Allentown,201811,Q,Q,Q,R,R,R,3,2,3
ALNY201812,11,New York,ALNY,Allentown,201812,Q,P,P,R,R,R,2,2,2
ALNY201901,11,New York,ALNY,Allentown,201901,Q,Q,Q,R,Q,R,2,2,2
ALNY201902,11,New York,ALNY,Allentown,201902,R,Q,Q,R,R,R,3,3,3
ALNY201903,11,New York,ALNY,Allentown,201903,Q,Q,Q,R,Q,R,2,2,2
ALPA201701,11,New York,ALPA,Albany,201701,P,P,P,R,Q,Q,1,1,1
ALPA201702,11,New York,ALPA,Albany,201702,Q,P,P,R,Q,Q,2,1,1
ALPA201703,11,New York,ALPA,Albany,201703,P,P,P,S,Q,Q,2,1,1
ALPA201704,11,New York,ALPA,Albany,201704,Q,P,P,R,Q,Q,2,1,1
ALPA201705,11,New York,ALPA,Albany,201705,Q,P,P,R,Q,Q,2,1,1
ALPA201706,11,New York,ALPA,Albany,201706,P,P,P,R,Q,Q,1,1,1
ALPA201707,11,New York,ALPA,Albany,201707,P,P,P,R,Q,Q,1,1,1
ALPA201708,11,New York,ALPA,Albany,201708,P,P,P,R,Q,Q,1,1,1
ALPA201709,11,New York,ALPA,Albany,201709,P,Q,Q,R,Q,Q,2,2,2
ALPA201710,11,New York,ALPA,Albany,201710,P,P,P,R,Q,Q,1,1,1
ALPA201711,11,New York,ALPA,Albany,201711,P,P,P,R,Q,Q,1,1,1
ALPA201712,11,New York,ALPA,Albany,201712,P,Q,P,R,Q,R,2,1,2
ALPA201801,11,New York,ALPA,Albany,201801,P,Q,P,R,Q,Q,2,1,2
ALPA201802,11,New York,ALPA,Albany,201802,P,Q,Q,S,Q,Q,2,2,2
ALPA201803,11,New York,ALPA,Albany,201803,P,Q,P,R,Q,Q,2,1,2
ALPA201804,11,New York,ALPA,Albany,201804,P,Q,P,S,Q,Q,2,1,2
ALPA201805,11,New York,ALPA,Albany,201805,P,P,P,R,R,Q,2,2,2
ALPA201806,11,New York,ALPA,Albany,201806,P,P,P,R,Q,Q,1,1,1
ALPA201807,11,New York,ALPA,Albany,201807,Q,P,P,R,Q,Q,2,1,1
ALPA201808,11,New York,ALPA,Albany,201808,P,P,P,R,Q,Q,1,1,1
ALPA201809,11,New York,ALPA,Albany,201809,Q,Q,P,R,Q,R,2,1,2
ALPA201810,11,New York,ALPA,Albany,201810,Q,P,P,R,Q,Q,2,1,1
ALPA201811,11,New York,ALPA,Albany,201811,P,P,P,R,Q,R,2,1,1
ALPA201812,11,New York,ALPA,Albany,201812,Q,P,P,R,R,R,2,2,2
ALPA201901,11,New York,ALPA,Albany,201901,Q,P,P,R,Q,Q,2,1,1
ALPA201902,11,New York,ALPA,Albany,201902,Q,P,P,R,Q,Q,2,1,1
ALPA201903,11,New York,ALPA,Albany,201903,P,P,P,R,Q,Q,1,1,1
HAPA201701,11,New York,HAPA,Harrisburg,201701,P,Q,Q,P,Q,P,1,2,2
HAPA201702,11,New York,HAPA,Harrisburg,201702,P,Q,Q,Q,Q,Q,2,2,2
HAPA201703,11,New York,HAPA,Harrisburg,201703,P,Q,P,P,Q,P,1,1,1
HAPA201704,11,New York,HAPA,Harrisburg,201704,P,Q,Q,Q,Q,Q,2,2,2
HAPA201705,11,New York,HAPA,Harrisburg,201705,P,Q,P,Q,Q,Q,1,1,2
HAPA201706,11,New York,HAPA,Harrisburg,201706,P,P,P,Q,Q,Q,1,1,1
HAPA201707,11,New York,HAPA,Harrisburg,201707,Q,Q,Q,Q,Q,Q,2,2,2
HAPA201708,11,New York,HAPA,Harrisburg,201708,P,P,P,P,Q,P,1,1,1
HAPA201709,11,New York,HAPA,Harrisburg,201709,P,Q,P,Q,Q,Q,1,1,2
HAPA201710,11,New York,HAPA,Harrisburg,201710,P,Q,P,Q,Q,P,1,1,1
HAPA201711,11,New York,HAPA,Harrisburg,201711,Q,P,Q,Q,R,Q,2,2,2
HAPA201712,11,New York,HAPA,Harrisburg,201712,P,Q,Q,Q,Q,Q,2,2,2
HAPA201801,11,New York,HAPA,Harrisburg,201801,Q,Q,P,Q,Q,P,1,1,2
HAPA201802,11,New York,HAPA,Harrisburg,201802,Q,R,Q,Q,Q,Q,2,2,2
HAPA201803,11,New York,HAPA,Harrisburg,201803,P,Q,Q,Q,Q,Q,2,2,2
HAPA201804,11,New York,HAPA,Harrisburg,201804,P,P,P,Q,R,Q,1,2,2
HAPA201805,11,New York,HAPA,Harrisburg,201805,P,P,P,P,Q,P,1,1,1
HAPA201806,11,New York,HAPA,Harrisburg,201806,P,P,P,Q,Q,Q,1,1,1
HAPA201807,11,New York,HAPA,Harrisburg,201807,P,P,P,P,R,Q,1,2,2
HAPA201808,11,New York,HAPA,Harrisburg,201808,P,P,P,P,R,P,1,1,2
HAPA201809,11,New York,HAPA,Harrisburg,201809,P,P,P,Q,R,Q,1,2,2
HAPA201810,11,New York,HAPA,Harrisburg,201810,P,P,P,P,Q,P,1,1,1
HAPA201811,11,New York,HAPA,Harrisburg,201811,P,P,P,Q,Q,Q,1,1,1
HAPA201812,11,New York,HAPA,Harrisburg,201812,P,P,P,Q,Q,Q,1,1,1
HAPA201901,11,New York,HAPA,Harrisburg,201901,P,P,P,Q,Q,P,1,1,1
HAPA201902,11,New York,HAPA,Harrisburg,201902,P,Q,P,Q,Q,Q,1,1,2
HAPA201903,11,New York,HAPA,Harrisburg,201903,P,P,P,Q,R,P,1,2,2
HVNY201701,11,New York,HVNY,Hudson Valley,201701,S,R,R,S,Q,R,3,3,3
HVNY201702,11,New York,HVNY,Hudson Valley,201702,S,R,R,S,R,S,4,3,3
HVNY201703,11,New York,HVNY,Hudson Valley,201703,S,R,R,S,R,R,4,3,3
HVNY201704,11,New York,HVNY,Hudson Valley,201704,S,R,R,S,R,R,4,3,3
HVNY201705,11,New York,HVNY,Hudson Valley,201705,S,S,R,S,Q,R,4,3,3
HVNY201706,11,New York,HVNY,Hudson Valley,201706,S,R,R,S,Q,R,3,3,3
HVNY201707,11,New York,HVNY,Hudson Valley,201707,S,R,R,S,Q,R,3,3,3
HVNY201708,11,New York,HVNY,Hudson Valley,201708,S,R,R,S,Q,R,3,3,3
HVNY201709,11,New York,HVNY,Hudson Valley,201709,S,R,R,S,R,R,4,3,3
HVNY201710,11,New York,HVNY,Hudson Valley,201710,S,R,R,S,Q,R,3,3,3
HVNY201711,11,New York,HVNY,Hudson Valley,201711,S,R,R,S,Q,R,3,3,3
HVNY201712,11,New York,HVNY,Hudson Valley,201712,S,S,S,S,Q,R,4,4,3
HVNY201801,11,New York,HVNY,Hudson Valley,201801,S,S,S,S,R,S,4,4,4
HVNY201802,11,New York,HVNY,Hudson Valley,201802,S,R,R,S,Q,S,4,3,3
HVNY201803,11,New York,HVNY,Hudson Valley,201803,S,R,R,S,Q,S,4,3,3
HVNY201804,11,New York,HVNY,Hudson Valley,201804,S,S,S,S,Q,S,4,4,3
HVNY201805,11,New York,HVNY,Hudson Valley,201805,S,R,R,S,R,S,4,3,3
HVNY201806,11,New York,HVNY,Hudson Valley,201806,S,R,R,S,R,S,4,3,3
HVNY201807,11,New York,HVNY,Hudson Valley,201807,S,R,R,S,R,S,4,3,3
HVNY201808,11,New York,HVNY,Hudson Valley,201808,S,Q,Q,S,Q,R,3,2,2
HVNY201809,11,New York,HVNY,Hudson Valley,201809,S,R,R,S,R,S,4,3,3
HVNY201810,11,New York,HVNY,Hudson Valley,201810,S,R,R,S,R,R,4,3,3
HVNY201811,11,New York,HVNY,Hudson Valley,201811,S,R,R,S,R,S,4,3,3
HVNY201812,11,New York,HVNY,Hudson Valley,201812,S,Q,R,S,R,S,4,3,3
HVNY201901,11,New York,HVNY,Hudson Valley,201901,S,R,R,S,Q,R,3,3,3
HVNY201902,11,New York,HVNY,Hudson Valley,201902,S,R,R,S,Q,S,4,3,3
HVNY201903,11,New York,HVNY,Hudson Valley,201903,S,R,R,S,Q,R,3,3,3
NCDE201701,11,New York,NCDE,New Castle,201701,R,S,S,R,Q,R,3,3,3
NCDE201702,11,New York,NCDE,New Castle,201702,R,R,R,R,Q,R,3,3,3
NCDE201703,11,New York,NCDE,New Castle,201703,R,R,R,R,Q,R,3,3,3
NCDE201704,11,New York,NCDE,New Castle,201704,R,R,R,S,Q,R,3,3,3
NCDE201705,11,New York,NCDE,New Castle,201705,R,R,R,S,Q,R,3,3,3
NCDE201706,11,New York,NCDE,New Castle,201706,R,R,R,R,Q,R,3,3,3
NCDE201707,11,New York,NCDE,New Castle,201707,R,S,R,R,Q,R,3,3,3
NCDE201708,11,New York,NCDE,New Castle,201708,R,R,R,R,Q,R,3,3,3
NCDE201709,11,New York,NCDE,New Castle,201709,R,R,R,R,Q,R,3,3,3
NCDE201710,11,New York,NCDE,New Castle,201710,R,R,R,S,Q,R,3,3,3
NCDE201711,11,New York,NCDE,New Castle,201711,R,R,R,S,Q,R,3,3,3
NCDE201712,11,New York,NCDE,New Castle,201712,R,S,R,S,Q,R,3,3,3
NCDE201801,11,New York,NCDE,New Castle,201801,R,S,R,S,Q,R,3,3,3
NCDE201802,11,New York,NCDE,New Castle,201802,R,R,R,S,Q,R,3,3,3
NCDE201803,11,New York,NCDE,New Castle,201803,R,R,R,R,R,R,3,3,3
NCDE201804,11,New York,NCDE,New Castle,201804,R,R,R,S,R,R,3,3,3
NCDE201805,11,New York,NCDE,New Castle,201805,R,R,R,R,Q,R,3,3,3
NCDE201806,11,New York,NCDE,New Castle,201806,R,R,R,R,Q,R,3,3,3
NCDE201807,11,New York,NCDE,New Castle,201807,R,R,R,S,Q,R,3,3,3
NCDE201808,11,New York,NCDE,New Castle,201808,R,R,R,R,Q,R,3,3,3
NCDE201809,11,New York,NCDE,New Castle,201809,R,S,R,S,Q,R,3,3,3
NCDE201810,11,New York,NCDE,New Castle,201810,R,R,Q,R,Q,R,3,2,2
NCDE201811,11,New York,NCDE,New Castle,201811,R,R,R,S,Q,R,3,3,3
NCDE201812,11,New York,NCDE,New Castle,201812,R,R,R,S,R,R,3,3,3
NCDE201901,11,New York,NCDE,New Castle,201901,R,Q,Q,R,R,R,3,3,3
NCDE201902,11,New York,NCDE,New Castle,201902,R,R,R,S,Q,R,3,3,3
NCDE201903,11,New York,NCDE,New Castle,201903,R,R,R,R,Q,R,3,3,3
NJSC201701,11,New York,NJSC,New Jersey Service Center,201701,P,nan,nan,P,P,nan,nan,nan,nan
NJSC201702,11,New York,NJSC,New Jersey Service Center,201702,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201703,11,New York,NJSC,New Jersey Service Center,201703,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201704,11,New York,NJSC,New Jersey Service Center,201704,P,S,S,P,S,nan,nan,nan,nan
NJSC201705,11,New York,NJSC,New Jersey Service Center,201705,P,S,S,P,R,nan,nan,nan,nan
NJSC201706,11,New York,NJSC,New Jersey Service Center,201706,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201707,11,New York,NJSC,New Jersey Service Center,201707,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201708,11,New York,NJSC,New Jersey Service Center,201708,P,S,S,P,S,nan,nan,nan,nan
NJSC201709,11,New York,NJSC,New Jersey Service Center,201709,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201710,11,New York,NJSC,New Jersey Service Center,201710,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201711,11,New York,NJSC,New Jersey Service Center,201711,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201712,11,New York,NJSC,New Jersey Service Center,201712,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201801,11,New York,NJSC,New Jersey Service Center,201801,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201802,11,New York,NJSC,New Jersey Service Center,201802,P,nan,S,P,nan,nan,nan,nan,nan
NJSC201803,11,New York,NJSC,New Jersey Service Center,201803,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201804,11,New York,NJSC,New Jersey Service Center,201804,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201805,11,New York,NJSC,New Jersey Service Center,201805,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201806,11,New York,NJSC,New Jersey Service Center,201806,P,S,S,P,P,nan,nan,nan,nan
NJSC201807,11,New York,NJSC,New Jersey Service Center,201807,P,nan,S,P,nan,nan,nan,nan,nan
NJSC201808,11,New York,NJSC,New Jersey Service Center,201808,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201809,11,New York,NJSC,New Jersey Service Center,201809,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201810,11,New York,NJSC,New Jersey Service Center,201810,P,S,S,P,R,nan,nan,nan,nan
NJSC201811,11,New York,NJSC,New Jersey Service Center,201811,P,S,S,P,P,nan,nan,nan,nan
NJSC201812,11,New York,NJSC,New Jersey Service Center,201812,P,S,nan,P,nan,nan,nan,nan,nan
NJSC201901,11,New York,NJSC,New Jersey Service Center,201901,P,S,S,P,Q,nan,nan,nan,nan
NJSC201902,11,New York,NJSC,New Jersey Service Center,201902,P,S,S,P,P,nan,nan,nan,nan
NJSC201903,11,New York,NJSC,New Jersey Service Center,201903,P,S,nan,P,nan,nan,nan,nan,nan
PHPA201701,11,New York,PHPA,Philadelphia,201701,P,P,P,P,R,P,1,1,2
PHPA201702,11,New York,PHPA,Philadelphia,201702,P,P,P,P,Q,P,1,1,1
PHPA201703,11,New York,PHPA,Philadelphia,201703,P,P,P,P,R,P,1,1,2
PHPA201704,11,New York,PHPA,Philadelphia,201704,P,P,P,P,Q,P,1,1,1
PHPA201705,11,New York,PHPA,Philadelphia,201705,P,P,P,P,R,P,1,1,2
PHPA201706,11,New York,PHPA,Philadelphia,201706,P,P,P,P,R,P,1,1,2
PHPA201707,11,New York,PHPA,Philadelphia,201707,P,P,P,P,Q,P,1,1,1
PHPA201708,11,New York,PHPA,Philadelphia,201708,P,P,P,P,R,P,1,1,2
PHPA201709,11,New York,PHPA,Philadelphia,201709,P,P,P,P,Q,P,1,1,1
PHPA201710,11,New York,PHPA,Philadelphia,201710,P,P,P,P,R,P,1,1,2
PHPA201711,11,New York,PHPA,Philadelphia,201711,P,P,P,P,Q,P,1,1,1
PHPA201712,11,New York,PHPA,Philadelphia,201712,P,P,P,Q,Q,P,1,1,1
PHPA201801,11,New York,PHPA,Philadelphia,201801,P,P,P,P,Q,P,1,1,1
PHPA201802,11,New York,PHPA,Philadelphia,201802,P,P,P,P,Q,P,1,1,1
PHPA201803,11,New York,PHPA,Philadelphia,201803,P,P,P,P,R,P,1,1,2
PHPA201804,11,New York,PHPA,Philadelphia,201804,P,P,P,P,R,P,1,1,2
PHPA201805,11,New York,PHPA,Philadelphia,201805,P,P,P,P,R,P,1,1,2
PHPA201806,11,New York,PHPA,Philadelphia,201806,P,P,P,P,R,P,1,1,2
PHPA201807,11,New York,PHPA,Philadelphia,201807,P,P,P,P,R,P,1,1,2
PHPA201808,11,New York,PHPA,Philadelphia,201808,P,P,P,P,Q,P,1,1,1
PHPA201809,11,New York,PHPA,Philadelphia,201809,P,P,P,P,Q,P,1,1,1
PHPA201810,11,New York,PHPA,Philadelphia,201810,P,P,P,P,R,P,1,1,2
PHPA201811,11,New York,PHPA,Philadelphia,201811,P,P,P,P,R,P,1,1,2
PHPA201812,11,New York,PHPA,Philadelphia,201812,P,P,P,Q,Q,P,1,1,1
PHPA201901,11,New York,PHPA,Philadelphia,201901,P,P,P,P,R,P,1,1,2
PHPA201902,11,New York,PHPA,Philadelphia,201902,P,P,P,P,R,P,1,1,2
PHPA201903,11,New York,PHPA,Philadelphia,201903,P,P,P,P,R,P,1,1,2
TENJ201701,11,New York,TENJ,Teterboro,201701,S,P,P,R,Q,Q,2,1,1
TENJ201702,11,New York,TENJ,Teterboro,201702,S,P,P,R,Q,Q,2,1,1
TENJ201703,11,New York,TENJ,Teterboro,201703,S,P,P,S,Q,Q,2,1,2
TENJ201704,11,New York,TENJ,Teterboro,201704,S,P,P,R,Q,Q,2,1,1
TENJ201705,11,New York,TENJ,Teterboro,201705,S,P,P,R,Q,Q,2,1,1
TENJ201706,11,New York,TENJ,Teterboro,201706,S,P,P,R,Q,Q,2,1,1
TENJ201707,11,New York,TENJ,Teterboro,201707,S,P,P,S,Q,Q,2,1,2
TENJ201708,11,New York,TENJ,Teterboro,201708,S,P,P,R,Q,Q,2,1,1
TENJ201709,11,New York,TENJ,Teterboro,201709,S,P,P,R,Q,Q,2,1,1
TENJ201710,11,New York,TENJ,Teterboro,201710,S,P,P,R,Q,Q,2,1,1
TENJ201711,11,New York,TENJ,Teterboro,201711,S,P,P,S,Q,Q,2,1,2
TENJ201712,11,New York,TENJ,Teterboro,201712,S,P,Q,S,R,Q,3,2,2
TENJ201801,11,New York,TENJ,Teterboro,201801,S,Q,Q,R,Q,Q,2,2,2
TENJ201802,11,New York,TENJ,Teterboro,201802,S,Q,P,R,Q,Q,2,2,2
TENJ201803,11,New York,TENJ,Teterboro,201803,S,P,P,R,Q,Q,2,1,1
TENJ201804,11,New York,TENJ,Teterboro,201804,S,P,P,S,Q,Q,2,1,2
TENJ201805,11,New York,TENJ,Teterboro,201805,S,P,P,R,R,Q,2,2,2
TENJ201806,11,New York,TENJ,Teterboro,201806,S,P,P,R,Q,Q,2,1,1
TENJ201807,11,New York,TENJ,Teterboro,201807,S,P,P,R,Q,Q,2,1,1
TENJ201808,11,New York,TENJ,Teterboro,201808,S,P,P,R,R,Q,2,2,2
TENJ201809,11,New York,TENJ,Teterboro,201809,S,P,P,R,R,Q,2,2,2
TENJ201810,11,New York,TENJ,Teterboro,201810,S,P,P,R,R,Q,2,2,2
TENJ201811,11,New York,TENJ,Teterboro,201811,S,P,P,R,Q,Q,2,1,1
TENJ201812,11,New York,TENJ,Teterboro,201812,S,P,P,S,Q,Q,2,1,2
TENJ201901,11,New York,TENJ,Teterboro,201901,S,P,P,Q,Q,Q,2,1,1
TENJ201902,11,New York,TENJ,Teterboro,201902,S,P,P,R,Q,Q,2,1,1
TENJ201903,11,New York,TENJ,Teterboro,201903,S,P,P,S,R,Q,2,2,2
WIPA201701,11,New York,WIPA,Williamsport,201701,S,S,S,S,Q,S,4,4,3
WIPA201702,11,New York,WIPA,Williamsport,201702,R,S,S,R,R,S,4,4,4
WIPA201703,11,New York,WIPA,Williamsport,201703,R,S,S,S,Q,S,4,4,3
WIPA201704,11,New York,WIPA,Williamsport,201704,R,S,S,S,R,S,4,4,4
WIPA201705,11,New York,WIPA,Williamsport,201705,R,S,S,S,R,S,4,4,4
WIPA201706,11,New York,WIPA,Williamsport,201706,R,S,S,S,R,S,4,4,4
WIPA201707,11,New York,WIPA,Williamsport,201707,R,S,S,S,Q,S,4,4,3
WIPA201708,11,New York,WIPA,Williamsport,201708,R,S,S,S,Q,S,4,4,3
WIPA201709,11,New York,WIPA,Williamsport,201709,R,S,S,S,Q,S,4,4,3
WIPA201710,11,New York,WIPA,Williamsport,201710,R,S,S,S,Q,S,4,4,3
WIPA201711,11,New York,WIPA,Williamsport,201711,R,S,S,S,R,S,4,4,4
WIPA201712,11,New York,WIPA,Williamsport,201712,R,S,S,S,Q,S,4,4,3
WIPA201801,11,New York,WIPA,Williamsport,201801,S,S,S,S,Q,S,4,4,3
WIPA201802,11,New York,WIPA,Williamsport,201802,S,S,S,S,Q,S,4,4,3
WIPA201803,11,New York,WIPA,Williamsport,201803,S,S,S,S,Q,S,4,4,3
WIPA201804,11,New York,WIPA,Williamsport,201804,S,S,S,S,R,S,4,4,4
WIPA201805,11,New York,WIPA,Williamsport,201805,S,S,S,S,R,S,4,4,4
WIPA201806,11,New York,WIPA,Williamsport,201806,S,S,S,S,Q,S,4,4,3
WIPA201807,11,New York,WIPA,Williamsport,201807,R,S,S,S,Q,S,4,4,3
WIPA201808,11,New York,WIPA,Williamsport,201808,Q,S,S,S,R,S,4,4,4
WIPA201809,11,New York,WIPA,Williamsport,201809,S,S,S,S,Q,S,4,4,3
WIPA201810,11,New York,WIPA,Williamsport,201810,R,S,S,S,R,S,4,4,4
WIPA201811,11,New York,WIPA,Williamsport,201811,S,S,S,S,Q,S,4,4,3
WIPA201812,11,New York,WIPA,Williamsport,201812,S,S,S,S,Q,S,4,4,3
WIPA201901,11,New York,WIPA,Williamsport,201901,R,S,S,S,R,S,4,4,4
WIPA201902,11,New York,WIPA,Williamsport,201902,S,S,S,S,Q,S,4,4,3
WIPA201903,11,New York,WIPA,Williamsport,201903,S,S,S,S,Q,S,4,4,3
BOMA201701,12,Boston,BOMA,Boston,201701,S,P,P,S,R,P,2,2,2
BOMA201702,12,Boston,BOMA,Boston,201702,S,P,P,S,R,P,2,2,2
BOMA201703,12,Boston,BOMA,Boston,201703,S,P,P,S,R,P,2,2,2
BOMA201704,12,Boston,BOMA,Boston,201704,S,P,P,S,R,P,2,2,2
BOMA201705,12,Boston,BOMA,Boston,201705,S,P,P,S,R,P,2,2,2
BOMA201706,12,Boston,BOMA,Boston,201706,S,P,P,S,R,P,2,2,2
BOMA201707,12,Boston,BOMA,Boston,201707,S,P,P,S,R,P,2,2,2
BOMA201708,12,Boston,BOMA,Boston,201708,S,P,P,S,R,P,2,2,2
BOMA201709,12,Boston,BOMA,Boston,201709,S,P,P,S,R,P,2,2,2
BOMA201710,12,Boston,BOMA,Boston,201710,S,P,P,S,R,P,2,2,2
BOMA201711,12,Boston,BOMA,Boston,201711,S,P,P,S,R,P,2,2,2
BOMA201712,12,Boston,BOMA,Boston,201712,S,P,P,S,R,P,2,2,2
BOMA201801,12,Boston,BOMA,Boston,201801,S,P,P,S,R,P,2,2,2
BOMA201802,12,Boston,BOMA,Boston,201802,S,P,P,S,R,P,2,2,2
BOMA201803,12,Boston,BOMA,Boston,201803,S,P,P,S,R,P,2,2,2
BOMA201804,12,Boston,BOMA,Boston,201804,S,P,P,S,R,P,2,2,2
BOMA201805,12,Boston,BOMA,Boston,201805,S,P,P,S,R,P,2,2,2
BOMA201806,12,Boston,BOMA,Boston,201806,S,P,P,S,R,P,2,2,2
BOMA201807,12,Boston,BOMA,Boston,201807,S,P,P,S,R,P,2,2,2
BOMA201808,12,Boston,BOMA,Boston,201808,S,P,P,S,R,P,2,2,2
BOMA201809,12,Boston,BOMA,Boston,201809,S,P,P,S,R,P,2,2,2
BOMA201810,12,Boston,BOMA,Boston,201810,S,P,P,S,R,P,2,2,2
BOMA201811,12,Boston,BOMA,Boston,201811,S,P,P,S,R,P,2,2,2
BOMA201812,12,Boston,BOMA,Boston,201812,S,P,P,S,R,P,2,2,2
BOMA201901,12,Boston,BOMA,Boston,201901,S,P,P,S,R,P,2,2,2
BOMA201902,12,Boston,BOMA,Boston,201902,S,P,P,S,R,P,2,2,2
BOMA201903,12,Boston,BOMA,Boston,201903,S,P,P,S,R,P,2,2,2
BUVT201701,12,Boston,BUVT,Burlington,201701,S,S,S,R,R,R,4,4,4
BUVT201702,12,Boston,BUVT,Burlington,201702,S,S,S,R,Q,R,4,3,3
BUVT201703,12,Boston,BUVT,Burlington,201703,S,S,S,R,Q,R,4,3,3
BUVT201704,12,Boston,BUVT,Burlington,201704,S,S,S,R,R,R,4,4,4
BUVT201705,12,Boston,BUVT,Burlington,201705,S,S,S,Q,Q,R,3,3,3
BUVT201706,12,Boston,BUVT,Burlington,201706,S,S,S,R,R,R,4,4,4
