,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),Number of Delivery Lines (SO),Sales $ per branch,GM $ per branch,RSO by plant,GMR,Sales Order - RSO,Equal Weights,High Sales and GM Weight,High GMR
ALNY201701,11,New York,ALNY,Allentown,201701,30.0,20.0,20.0,20.0,20.0,30.0,23.0,21.0,21.0
ALNY201702,11,New York,ALNY,Allentown,201702,30.0,30.0,30.0,20.0,30.0,20.0,27.0,29.0,29.0
ALNY201703,11,New York,ALNY,Allentown,201703,30.0,30.0,40.0,20.0,30.0,30.0,30.5,33.5,31.5
ALNY201704,11,New York,ALNY,Allentown,201704,20.0,30.0,30.0,20.0,20.0,20.0,23.5,25.0,24.5
ALNY201705,11,New York,ALNY,Allentown,201705,30.0,30.0,30.0,20.0,30.0,30.0,28.5,29.5,29.5
ALNY201706,11,New York,ALNY,Allentown,201706,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALNY201707,11,New York,ALNY,Allentown,201707,30.0,30.0,30.0,20.0,30.0,20.0,27.0,29.0,29.0
ALNY201708,11,New York,ALNY,Allentown,201708,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALNY201709,11,New York,ALNY,Allentown,201709,30.0,30.0,40.0,20.0,30.0,30.0,30.5,33.5,31.5
ALNY201710,11,New York,ALNY,Allentown,201710,40.0,30.0,30.0,20.0,30.0,30.0,30.0,30.0,30.0
ALNY201711,11,New York,ALNY,Allentown,201711,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALNY201712,11,New York,ALNY,Allentown,201712,30.0,30.0,30.0,20.0,20.0,20.0,25.0,25.5,25.0
ALNY201801,11,New York,ALNY,Allentown,201801,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALNY201802,11,New York,ALNY,Allentown,201802,30.0,30.0,30.0,20.0,30.0,20.0,27.0,29.0,29.0
ALNY201803,11,New York,ALNY,Allentown,201803,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALNY201804,11,New York,ALNY,Allentown,201804,30.0,40.0,40.0,20.0,20.0,30.0,30.0,31.0,30.0
ALNY201805,11,New York,ALNY,Allentown,201805,30.0,40.0,40.0,20.0,20.0,30.0,30.0,31.0,30.0
ALNY201806,11,New York,ALNY,Allentown,201806,30.0,40.0,40.0,20.0,20.0,30.0,30.0,31.0,30.0
ALNY201807,11,New York,ALNY,Allentown,201807,30.0,40.0,40.0,20.0,20.0,30.0,30.0,31.0,30.0
ALNY201808,11,New York,ALNY,Allentown,201808,30.0,40.0,40.0,20.0,20.0,30.0,30.0,31.0,30.0
ALNY201809,11,New York,ALNY,Allentown,201809,20.0,40.0,40.0,20.0,20.0,20.0,27.0,30.0,29.0
ALNY201810,11,New York,ALNY,Allentown,201810,30.0,40.0,40.0,20.0,20.0,30.0,30.0,31.0,30.0
ALNY201811,11,New York,ALNY,Allentown,201811,30.0,30.0,30.0,20.0,20.0,20.0,25.0,25.5,25.0
ALNY201812,11,New York,ALNY,Allentown,201812,30.0,40.0,40.0,20.0,20.0,20.0,28.5,30.5,29.5
ALNY201901,11,New York,ALNY,Allentown,201901,30.0,30.0,30.0,20.0,30.0,20.0,27.0,29.0,29.0
ALNY201902,11,New York,ALNY,Allentown,201902,20.0,30.0,30.0,20.0,20.0,20.0,23.5,25.0,24.5
ALNY201903,11,New York,ALNY,Allentown,201903,30.0,30.0,30.0,20.0,30.0,20.0,27.0,29.0,29.0
ALPA201701,11,New York,ALPA,Albany,201701,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201702,11,New York,ALPA,Albany,201702,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201703,11,New York,ALPA,Albany,201703,40.0,40.0,40.0,10.0,30.0,30.0,32.0,34.5,34.0
ALPA201704,11,New York,ALPA,Albany,201704,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201705,11,New York,ALPA,Albany,201705,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201706,11,New York,ALPA,Albany,201706,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201707,11,New York,ALPA,Albany,201707,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201708,11,New York,ALPA,Albany,201708,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201709,11,New York,ALPA,Albany,201709,40.0,30.0,30.0,20.0,30.0,30.0,30.0,30.0,30.0
ALPA201710,11,New York,ALPA,Albany,201710,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201711,11,New York,ALPA,Albany,201711,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201712,11,New York,ALPA,Albany,201712,40.0,30.0,40.0,20.0,30.0,20.0,30.5,33.5,31.5
ALPA201801,11,New York,ALPA,Albany,201801,40.0,30.0,40.0,20.0,30.0,30.0,32.0,34.0,32.0
ALPA201802,11,New York,ALPA,Albany,201802,40.0,30.0,30.0,10.0,30.0,30.0,28.5,29.5,29.5
ALPA201803,11,New York,ALPA,Albany,201803,40.0,30.0,40.0,20.0,30.0,30.0,32.0,34.0,32.0
ALPA201804,11,New York,ALPA,Albany,201804,40.0,30.0,40.0,10.0,30.0,30.0,30.5,33.5,31.5
ALPA201805,11,New York,ALPA,Albany,201805,40.0,40.0,40.0,20.0,20.0,30.0,31.5,31.5,30.5
ALPA201806,11,New York,ALPA,Albany,201806,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201807,11,New York,ALPA,Albany,201807,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201808,11,New York,ALPA,Albany,201808,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
ALPA201809,11,New York,ALPA,Albany,201809,30.0,30.0,40.0,20.0,30.0,20.0,29.0,33.0,31.0
ALPA201810,11,New York,ALPA,Albany,201810,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201811,11,New York,ALPA,Albany,201811,40.0,40.0,40.0,20.0,30.0,20.0,32.0,34.5,34.0
ALPA201812,11,New York,ALPA,Albany,201812,30.0,40.0,40.0,20.0,20.0,20.0,28.5,30.5,29.5
ALPA201901,11,New York,ALPA,Albany,201901,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201902,11,New York,ALPA,Albany,201902,30.0,40.0,40.0,20.0,30.0,30.0,32.0,34.5,34.0
ALPA201903,11,New York,ALPA,Albany,201903,40.0,40.0,40.0,20.0,30.0,30.0,33.5,35.0,34.5
HAPA201701,11,New York,HAPA,Harrisburg,201701,40.0,30.0,30.0,40.0,30.0,40.0,34.5,31.5,31.5
HAPA201702,11,New York,HAPA,Harrisburg,201702,40.0,30.0,30.0,30.0,30.0,30.0,31.5,30.5,30.5
HAPA201703,11,New York,HAPA,Harrisburg,201703,40.0,30.0,40.0,40.0,30.0,40.0,36.5,35.5,33.5
HAPA201704,11,New York,HAPA,Harrisburg,201704,40.0,30.0,30.0,30.0,30.0,30.0,31.5,30.5,30.5
HAPA201705,11,New York,HAPA,Harrisburg,201705,40.0,30.0,40.0,30.0,30.0,30.0,33.5,34.5,32.5
HAPA201706,11,New York,HAPA,Harrisburg,201706,40.0,40.0,40.0,30.0,30.0,30.0,35.0,35.5,35.0
HAPA201707,11,New York,HAPA,Harrisburg,201707,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
HAPA201708,11,New York,HAPA,Harrisburg,201708,40.0,40.0,40.0,40.0,30.0,40.0,38.0,36.5,36.0
HAPA201709,11,New York,HAPA,Harrisburg,201709,40.0,30.0,40.0,30.0,30.0,30.0,33.5,34.5,32.5
HAPA201710,11,New York,HAPA,Harrisburg,201710,40.0,30.0,40.0,30.0,30.0,40.0,35.0,35.0,33.0
HAPA201711,11,New York,HAPA,Harrisburg,201711,30.0,40.0,30.0,30.0,20.0,30.0,29.5,27.5,28.5
HAPA201712,11,New York,HAPA,Harrisburg,201712,40.0,30.0,30.0,30.0,30.0,30.0,31.5,30.5,30.5
HAPA201801,11,New York,HAPA,Harrisburg,201801,30.0,30.0,40.0,30.0,30.0,40.0,33.5,34.5,32.5
HAPA201802,11,New York,HAPA,Harrisburg,201802,30.0,20.0,30.0,30.0,30.0,30.0,28.5,29.0,27.5
HAPA201803,11,New York,HAPA,Harrisburg,201803,40.0,30.0,30.0,30.0,30.0,30.0,31.5,30.5,30.5
HAPA201804,11,New York,HAPA,Harrisburg,201804,40.0,40.0,40.0,30.0,20.0,30.0,33.0,32.0,31.0
HAPA201805,11,New York,HAPA,Harrisburg,201805,40.0,40.0,40.0,40.0,30.0,40.0,38.0,36.5,36.0
HAPA201806,11,New York,HAPA,Harrisburg,201806,40.0,40.0,40.0,30.0,30.0,30.0,35.0,35.5,35.0
HAPA201807,11,New York,HAPA,Harrisburg,201807,40.0,40.0,40.0,40.0,20.0,30.0,34.5,32.5,31.5
HAPA201808,11,New York,HAPA,Harrisburg,201808,40.0,40.0,40.0,40.0,20.0,40.0,36.0,33.0,32.0
HAPA201809,11,New York,HAPA,Harrisburg,201809,40.0,40.0,40.0,30.0,20.0,30.0,33.0,32.0,31.0
HAPA201810,11,New York,HAPA,Harrisburg,201810,40.0,40.0,40.0,40.0,30.0,40.0,38.0,36.5,36.0
HAPA201811,11,New York,HAPA,Harrisburg,201811,40.0,40.0,40.0,30.0,30.0,30.0,35.0,35.5,35.0
HAPA201812,11,New York,HAPA,Harrisburg,201812,40.0,40.0,40.0,30.0,30.0,30.0,35.0,35.5,35.0
